protein	base_model	n_train	trust_radius	seed	seqs_allocated
GFP	ET_Global_Init_1	24	15	0	300
GFP	ET_Global_Init_1	24	15	1	300
GFP	ET_Global_Init_1	24	15	2	300
GFP	ET_Global_Init_1	24	15	3	300
GFP	ET_Global_Init_1	24	15	4	300
GFP	ET_Global_Init_1	96	15	0	300
GFP	ET_Global_Init_1	96	15	1	300
GFP	ET_Global_Init_1	96	15	2	300
GFP	ET_Global_Init_1	96	15	3	300
GFP	ET_Global_Init_1	96	15	4	300
GFP	ET_Global_Init_2	24	15	0	300
GFP	ET_Global_Init_2	24	15	1	300
GFP	ET_Global_Init_2	24	15	2	300
GFP	ET_Global_Init_2	24	15	3	300
GFP	ET_Global_Init_2	24	15	4	300
GFP	ET_Global_Init_2	96	15	0	300
GFP	ET_Global_Init_2	96	15	1	300
GFP	ET_Global_Init_2	96	15	2	300
GFP	ET_Global_Init_2	96	15	3	300
GFP	ET_Global_Init_2	96	15	4	300
GFP	ET_Random_Init_1	24	15	0	300
GFP	ET_Random_Init_1	24	15	1	300
GFP	ET_Random_Init_1	24	15	2	300
GFP	ET_Random_Init_1	24	15	3	300
GFP	ET_Random_Init_1	24	15	4	300
GFP	ET_Random_Init_1	96	15	0	300
GFP	ET_Random_Init_1	96	15	1	300
GFP	ET_Random_Init_1	96	15	2	300
GFP	ET_Random_Init_1	96	15	3	300
GFP	ET_Random_Init_1	96	15	4	300
GFP	OneHot	24	15	0	300
GFP	OneHot	24	15	1	300
GFP	OneHot	24	15	2	300
GFP	OneHot	24	15	3	300
GFP	OneHot	24	15	4	300
GFP	OneHot	96	15	0	300
GFP	OneHot	96	15	1	300
GFP	OneHot	96	15	2	300
GFP	OneHot	96	15	3	300
GFP	OneHot	96	15	4	300
GFP	ET_Global_Init_1	96	7	0	275
GFP	ET_Global_Init_1	96	7	1	275
GFP	ET_Global_Init_1	96	7	2	275
GFP	OneHot	96	7	0	275
GFP	OneHot	96	7	1	275
GFP	OneHot	96	7	2	275
GFP	ET_Global_Init_1	LARGE_N ??	7	0	0
GFP	OneHot	LARGE_N ??	7	0	0
BLAC	ET_Global_Init_1	24	7	0	300
BLAC	ET_Global_Init_1	24	7	1	300
BLAC	ET_Global_Init_1	24	7	2	300
BLAC	ET_Global_Init_1	24	7	3	300
BLAC	ET_Global_Init_1	24	7	4	300
BLAC	ET_Global_Init_1	96	7	0	300
BLAC	ET_Global_Init_1	96	7	1	300
BLAC	ET_Global_Init_1	96	7	2	300
BLAC	ET_Global_Init_1	96	7	3	300
BLAC	ET_Global_Init_1	96	7	4	300
BLAC	ET_Random_Init_1	24	7	0	300
BLAC	ET_Random_Init_1	24	7	1	300
BLAC	ET_Random_Init_1	24	7	2	300
BLAC	ET_Random_Init_1	24	7	3	300
BLAC	ET_Random_Init_1	24	7	4	300
BLAC	ET_Random_Init_1	96	7	0	300
BLAC	ET_Random_Init_1	96	7	1	300
BLAC	ET_Random_Init_1	96	7	2	300
BLAC	ET_Random_Init_1	96	7	3	300
BLAC	ET_Random_Init_1	96	7	4	300
BLAC	OneHot	24	7	0	300
BLAC	OneHot	24	7	1	300
BLAC	OneHot	24	7	2	300
BLAC	OneHot	24	7	3	300
BLAC	OneHot	24	7	4	300
BLAC	OneHot	96	7	0	300
BLAC	OneHot	96	7	1	300
BLAC	OneHot	96	7	2	300
BLAC	OneHot	96	7	3	300
BLAC	OneHot	96	7	4	300
BLAC	ET_Global_Init_1	96	15	0	275
BLAC	ET_Random_Init_1	96	15	0	275
BLAC	OneHot	96	15	0	275
GFP	Grigory's Special Set	Grigory's Special Set	Grigory's Special Set	Grigory's Special Set	662
